"","PFC","Subcortical","COMT.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"379","Dorsal_ACC","Accum",-1.073,0.006,0,0.282926472294807,0.0276411987555047,0.227644074783797,0.338208869805816,0.0390255250139139,0.5268274195757
"380","InferiorFrontalGyrus","Accum",-1.073,0.006,0,0.17275910093877,0.0276411987555059,0.117476703427759,0.228041498449782,-0.0711418463421229,0.416660048219664
"381","Lateral_OFC","Accum",-1.073,0.006,0,0.186902354633325,0.0276411987555059,0.131619957122313,0.242184752144337,-0.0569985926475683,0.430803301914218
"382","Medial_OFC","Accum",-1.073,0.006,0,0.255478140694042,0.0276411987555059,0.200195743183031,0.310760538205054,0.011577193413149,0.499379087974936
"383","MiddleFrontalGyrus","Accum",-1.073,0.006,0,0.146816924728217,0.0276411987555059,0.0915345272172051,0.202099322239229,-0.0970840225526765,0.39071787200911
"384","SuperiorFrontalGyrus","Accum",-1.073,0.006,0,0.202221612845021,0.0276411987555059,0.146939215334009,0.257504010356033,-0.0416793344358723,0.446122560125914
"385","Ventral_ACC","Accum",-1.073,0.006,0,0.345210263781736,0.0276411987555059,0.289927866270725,0.400492661292748,0.101309316500843,0.58911121106263
"386","Dorsal_ACC","Caudate",-1.073,0.006,0,0.329487599860164,0.027641198755506,0.274205202349152,0.384769997371176,0.0855866525792706,0.573388547141057
"387","InferiorFrontalGyrus","Caudate",-1.073,0.006,0,0.25567254651019,0.0276411987555058,0.200390148999178,0.310954944021201,0.0117715992292964,0.499573493791083
"388","Lateral_OFC","Caudate",-1.073,0.006,0,0.232147636593172,0.0276411987555058,0.17686523908216,0.287430034104183,-0.0117533106877217,0.476048583874065
"389","Medial_OFC","Caudate",-1.073,0.006,0,0.225077394922676,0.0276411987555058,0.169794997411664,0.280359792433688,-0.0188235523582173,0.468978342203569
"390","MiddleFrontalGyrus","Caudate",-1.073,0.006,0,0.205745154913139,0.0276411987555058,0.150462757402128,0.261027552424151,-0.0381557923677542,0.449646102194032
"391","SuperiorFrontalGyrus","Caudate",-1.073,0.006,0,0.254789621086101,0.0276411987555058,0.199507223575089,0.310072018597112,0.0108886738052074,0.498690568366994
"392","Ventral_ACC","Caudate",-1.073,0.006,0,0.335035912160116,0.0276411987555058,0.279753514649105,0.390318309671128,0.0911349648792228,0.57893685944101
