"","PFC","Subcortical","CompositeRecoded.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"112","Ventral_ACC","Accum",1.327,-0.015,0,0.339323680490162,0.048648746003076,0.24202618848401,0.436621172496314,0.0873743059674346,0.591273055012889
"113","Dorsal_ACC","Caudate",1.327,-0.015,0,0.180392058477614,0.0486487460030758,0.0830945664714626,0.277689550483766,-0.0715573160451128,0.432341433000341
"114","InferiorFrontalGyrus","Caudate",1.327,-0.015,0,0.178090588882934,0.048648746003076,0.0807930968767817,0.275388080889086,-0.0738587856397935,0.430039963405661
"115","Lateral_OFC","Caudate",1.327,-0.015,0,0.187326080866128,0.048648746003076,0.0900285888599763,0.28462357287228,-0.0646232936565988,0.439275455388855
"116","Medial_OFC","Caudate",1.327,-0.015,0,0.150649461321067,0.048648746003076,0.0533519693149155,0.247946953327219,-0.10129991320166,0.402598835843795
"117","MiddleFrontalGyrus","Caudate",1.327,-0.015,0,0.164670714919434,0.048648746003076,0.0673732229132818,0.261968206925586,-0.0872786596032933,0.416620089442161
"118","SuperiorFrontalGyrus","Caudate",1.327,-0.015,0,0.192040338314886,0.048648746003076,0.094742846308734,0.289337830321038,-0.0599090362078412,0.443989712837613
"119","Ventral_ACC","Caudate",1.327,-0.015,0,0.221673160906519,0.048648746003076,0.124375668900367,0.318970652912671,-0.0302762136162082,0.473622535429246
"120","Dorsal_ACC","Putamen",1.327,-0.015,0,0.512207610252932,0.0486487460030757,0.41491011824678,0.609505102259083,0.260258235730205,0.764156984775659
"121","InferiorFrontalGyrus","Putamen",1.327,-0.015,0,0.383204944375491,0.048648746003076,0.28590745236934,0.480502436381643,0.131255569852764,0.635154318898219
"122","Lateral_OFC","Putamen",1.327,-0.015,0,0.269468085910997,0.048648746003076,0.172170593904845,0.366765577917149,0.0175187113882703,0.521417460433725
"123","Medial_OFC","Putamen",1.327,-0.015,0,0.202119351638682,0.048648746003076,0.10482185963253,0.299416843644834,-0.0498300228840449,0.454068726161409
"124","MiddleFrontalGyrus","Putamen",1.327,-0.015,0,0.231630291770617,0.048648746003076,0.134332799764465,0.328927783776769,-0.0203190827521105,0.483579666293344
"125","SuperiorFrontalGyrus","Putamen",1.327,-0.015,0,0.31036403153301,0.048648746003076,0.213066539526858,0.407661523539162,0.0584146570102833,0.562313406055738
