"","PFC","Subcortical","MAOA.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"422","InferiorFrontalGyrus","Accum",0.727,0.006,0,0.225256311229412,0.0199097521263877,0.185436806976637,0.265075815482188,-0.00971799429717715,0.460230616756001
"423","Lateral_OFC","Accum",0.727,0.006,0,0.21995478154566,0.0199097521263877,0.180135277292884,0.259774285798435,-0.0150195239809293,0.454929087072249
"424","Medial_OFC","Accum",0.727,0.006,0,0.248269846145304,0.0199097521263877,0.208450341892528,0.288089350398079,0.0132955406187144,0.483244151671893
"425","MiddleFrontalGyrus","Accum",0.727,0.006,0,0.171728739478228,0.0199097521263877,0.131909235225453,0.211548243731004,-0.0632455660483609,0.406703045004817
"426","SuperiorFrontalGyrus","Accum",0.727,0.006,0,0.225894061543298,0.0199097521263877,0.186074557290522,0.265713565796073,-0.00908024398329157,0.460868367069887
"427","Ventral_ACC","Accum",0.727,0.006,0,0.367077431092548,0.0199097521263877,0.327257926839773,0.406896935345324,0.132103125565959,0.602051736619137
"428","Dorsal_ACC","Caudate",0.727,0.006,0,0.367674425954172,0.0199097521263878,0.327854921701396,0.407493930206947,0.132700120427583,0.602648731480761
"429","InferiorFrontalGyrus","Caudate",0.727,0.006,0,0.282510959935325,0.0199097521263879,0.24269145568255,0.322330464188101,0.0475366544087362,0.517485265461915
"430","Lateral_OFC","Caudate",0.727,0.006,0,0.253514228326261,0.0199097521263879,0.213694724073485,0.293333732579036,0.0185399227996713,0.48848853385285
"431","Medial_OFC","Caudate",0.727,0.006,0,0.198458930790942,0.0199097521263879,0.158639426538166,0.238278435043718,-0.036515374735647,0.433433236317531
"432","MiddleFrontalGyrus","Caudate",0.727,0.006,0,0.22759700927925,0.0199097521263879,0.187777505026474,0.267416513532025,-0.00737729624733949,0.462571314805839
"433","SuperiorFrontalGyrus","Caudate",0.727,0.006,0,0.282066099679914,0.0199097521263878,0.242246595427138,0.321885603932689,0.0470917941533243,0.517040405206503
"434","Ventral_ACC","Caudate",0.727,0.006,0,0.333504035159545,0.0199097521263879,0.293684530906769,0.373323539412321,0.0985297296329557,0.568478340686134
"435","Dorsal_ACC","Putamen",0.727,0.006,0,0.509383758105789,0.0199097521263879,0.469564253853013,0.549203262358564,0.274409452579199,0.744358063632378
"436","InferiorFrontalGyrus","Putamen",0.727,0.006,0,0.39753924745545,0.0199097521263879,0.357719743202675,0.437358751708226,0.162564941928861,0.632513552982039
"437","Lateral_OFC","Putamen",0.727,0.006,0,0.27852587448449,0.0199097521263879,0.238706370231714,0.318345378737266,0.0435515689579008,0.513500180011079
"438","Medial_OFC","Putamen",0.727,0.006,0,0.239527411449403,0.0199097521263879,0.199707907196627,0.279346915702179,0.00455310592281372,0.474501716975992
"439","MiddleFrontalGyrus","Putamen",0.727,0.006,0,0.22089389134963,0.0199097521263879,0.181074387096855,0.260713395602406,-0.014080414176959,0.455868196876219
"440","SuperiorFrontalGyrus","Putamen",0.727,0.006,0,0.307018902587667,0.0199097521263879,0.267199398334891,0.346838406840442,0.0720445970610774,0.541993208114256
"441","Ventral_ACC","Putamen",0.727,0.006,0,0.342452259532859,0.0199097521263879,0.302632755280083,0.382271763785634,0.107477954006269,0.577426565059448
"442","Dorsal_ACC","Accum",-1.273,0.012,0,0.238817746612372,0.031431560723671,0.17595462516503,0.301680868059714,-0.00113871480692235,0.478774208031667
"443","InferiorFrontalGyrus","Accum",-1.273,0.012,0,0.172420741129761,0.0314315607236709,0.10955761968242,0.235283862577103,-0.0675357202895329,0.412377202549056
"444","Lateral_OFC","Accum",-1.273,0.012,0,0.174659064794643,0.0314315607236709,0.111795943347301,0.237522186241985,-0.0652973966246514,0.414615526213937
"445","Medial_OFC","Accum",-1.273,0.012,0,0.231986346955976,0.0314315607236709,0.169123225508634,0.294849468403318,-0.00797011446331836,0.47194280837527
"446","MiddleFrontalGyrus","Accum",-1.273,0.012,0,0.119203763185567,0.0314315607236709,0.0563406417382253,0.182066884632909,-0.120752698233727,0.359160224604861
"447","SuperiorFrontalGyrus","Accum",-1.273,0.012,0,0.182668264136394,0.0314315607236709,0.119805142689052,0.245531385583736,-0.0572881972829002,0.422624725555689
"448","Ventral_ACC","Accum",-1.273,0.012,0,0.314756299924578,0.0314315607236709,0.251893178477236,0.377619421371919,0.0747998385052832,0.554712761343872
"449","Dorsal_ACC","Caudate",-1.273,0.012,0,0.236608928629956,0.031431560723671,0.173745807182614,0.299472050077298,-0.0033475327893383,0.476565390049251
"450","InferiorFrontalGyrus","Caudate",-1.273,0.012,0,0.238544425625678,0.031431560723671,0.175681304178336,0.30140754707302,-0.00141203579361632,0.478500887044973
"451","Lateral_OFC","Caudate",-1.273,0.012,0,0.228830159136476,0.031431560723671,0.165967037689134,0.291693280583818,-0.0111263022828188,0.46878662055577
"452","Medial_OFC","Caudate",-1.273,0.012,0,0.199865510461219,0.031431560723671,0.137002389013877,0.262728631908561,-0.0400909509580752,0.439821971880514
"453","MiddleFrontalGyrus","Caudate",-1.273,0.012,0,0.196858654551942,0.031431560723671,0.1339955331046,0.259721775999284,-0.0430978068673522,0.436815115971237
"454","SuperiorFrontalGyrus","Caudate",-1.273,0.012,0,0.234433699725206,0.031431560723671,0.171570578277864,0.297296821172548,-0.00552276169408877,0.4743901611445
"455","Ventral_ACC","Caudate",-1.273,0.012,0,0.30393130432169,0.031431560723671,0.241068182874348,0.366794425769032,0.0639748429023959,0.543887765740985
"456","Dorsal_ACC","Putamen",-1.273,0.012,0,0.381312346954006,0.031431560723671,0.318449225506664,0.444175468401348,0.141355885534711,0.6212688083733
"457","InferiorFrontalGyrus","Putamen",-1.273,0.012,0,0.291839384683492,0.031431560723671,0.22897626323615,0.354702506130834,0.0518829232641975,0.531795846102786
"458","Lateral_OFC","Putamen",-1.273,0.012,0,0.216540516774655,0.031431560723671,0.153677395327313,0.279403638221997,-0.0234159446446391,0.45649697819395
"459","Medial_OFC","Putamen",-1.273,0.012,0,0.202431339111948,0.031431560723671,0.139568217664606,0.26529446055929,-0.0375251223073469,0.442387800531242
"460","MiddleFrontalGyrus","Putamen",-1.273,0.012,0,0.171814124341865,0.031431560723671,0.108951002894523,0.234677245789207,-0.0681423370774299,0.411770585761159
"461","SuperiorFrontalGyrus","Putamen",-1.273,0.012,0,0.228954926740971,0.031431560723671,0.166091805293629,0.291818048188313,-0.0110015346783235,0.468911388160265
