"","PFC","Subcortical","DAT1.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"157","Lateral_OFC","Caudate",0.5,-0.006,0,0.227131511620118,0.0241070876650237,0.17891733629007,0.275345686950165,-0.0137177771048178,0.467980800345054
"158","Medial_OFC","Caudate",0.5,-0.006,0,0.185319130743848,0.0241070876650237,0.137104955413801,0.233533306073896,-0.0555301579810876,0.426168419468784
"159","MiddleFrontalGyrus","Caudate",0.5,-0.006,0,0.195584930042745,0.0241070876650237,0.147370754712698,0.243799105372793,-0.0452643586821904,0.436434218767681
"160","SuperiorFrontalGyrus","Caudate",0.5,-0.006,0,0.246531919187405,0.0241070876650237,0.198317743857358,0.294746094517452,0.00568263046246939,0.487381207912341
"161","Ventral_ACC","Caudate",0.5,-0.006,0,0.301161956967483,0.0241070876650237,0.252947781637435,0.34937613229753,0.0603126682425472,0.542011245692419
"162","Dorsal_ACC","Putamen",0.5,-0.006,0,0.452180143604237,0.0241070876650237,0.40396596827419,0.500394318934284,0.211330854879301,0.693029432329173
"163","InferiorFrontalGyrus","Putamen",0.5,-0.006,0,0.33956114934113,0.0241070876650237,0.291346974011082,0.387775324671177,0.0987118606161941,0.580410438066065
"164","Lateral_OFC","Putamen",0.5,-0.006,0,0.246494081638094,0.0241070876650237,0.198279906308046,0.294708256968141,0.00564479291315806,0.487343370363029
"165","Medial_OFC","Putamen",0.5,-0.006,0,0.202314284123463,0.0241070876650237,0.154100108793416,0.250528459453511,-0.0385350046014725,0.443163572848399
"166","MiddleFrontalGyrus","Putamen",0.5,-0.006,0,0.19781642161556,0.0241070876650237,0.149602246285513,0.246030596945608,-0.0430328671093752,0.438665710340496
"167","SuperiorFrontalGyrus","Putamen",0.5,-0.006,0,0.267824969723112,0.0241070876650237,0.219610794393064,0.316039145053159,0.0269756809981759,0.508674258448047
"168","Ventral_ACC","Putamen",0.5,-0.006,0,0.283497948614202,0.0241070876650237,0.235283773284155,0.33171212394425,0.0426486598892665,0.524347237339138
"169","Dorsal_ACC","Accum",-0.5,-0.003,0,0.243176835264855,0.023269755575792,0.196637324113271,0.289716346416439,0.00265719100522457,0.483696479524486
"170","InferiorFrontalGyrus","Accum",-0.5,-0.003,0,0.170097112405045,0.0232697555757904,0.123557601253464,0.216636623556626,-0.0704225318545848,0.410616756664675
"171","Lateral_OFC","Accum",-0.5,-0.003,0,0.176477896104772,0.0232697555757904,0.129938384953191,0.223017407256353,-0.0640417481548581,0.416997540364402
"172","Medial_OFC","Accum",-0.5,-0.003,0,0.220082665509768,0.0232697555757904,0.173543154358187,0.266622176661349,-0.0204369787498621,0.460602309769398
"173","MiddleFrontalGyrus","Accum",-0.5,-0.003,0,0.128153881543085,0.0232697555757904,0.0816143703915037,0.174693392694665,-0.112365762716545,0.368673525802715
"174","SuperiorFrontalGyrus","Accum",-0.5,-0.003,0,0.177890215496079,0.0232697555757904,0.131350704344499,0.22442972664766,-0.0626294287635506,0.418409859755709
"175","Ventral_ACC","Accum",-0.5,-0.003,0,0.313795280091309,0.0232697555757904,0.267255768939729,0.36033479124289,0.0732756358316794,0.554314924350939
"176","Dorsal_ACC","Caudate",-0.5,-0.003,0,0.267585021953923,0.0232697555757905,0.221045510802342,0.314124533105503,0.0270653776942925,0.508104666213553
"177","InferiorFrontalGyrus","Caudate",-0.5,-0.003,0,0.207102671290184,0.0232697555757906,0.160563160138603,0.253642182441765,-0.0334169729694457,0.447622315549814
"178","Lateral_OFC","Caudate",-0.5,-0.003,0,0.210131777999223,0.0232697555757906,0.163592266847642,0.256671289150804,-0.0303878662604073,0.450651422258853
"179","Medial_OFC","Caudate",-0.5,-0.003,0,0.17288904886569,0.0232697555757906,0.126349537714109,0.219428560017271,-0.0676305953939399,0.41340869312532
